2026-03-02 11:23:10,478 - ✅ NORMAL ACTIVITY | probability=0.400
2026-03-02 11:23:13,511 - ✅ NORMAL ACTIVITY | probability=0.273
2026-03-02 11:23:16,543 - ✅ NORMAL ACTIVITY | probability=0.487
2026-03-02 11:23:19,575 - ✅ NORMAL ACTIVITY | probability=0.493
2026-03-02 11:23:22,608 - ✅ NORMAL ACTIVITY | probability=0.400
2026-03-02 11:23:25,639 - ✅ NORMAL ACTIVITY | probability=0.420
2026-03-02 11:23:28,672 - ✅ NORMAL ACTIVITY | probability=0.400
2026-03-02 11:23:31,703 - ✅ NORMAL ACTIVITY | probability=0.507
2026-03-02 11:23:34,735 - ✅ NORMAL ACTIVITY | probability=0.447
2026-03-02 11:23:37,766 - ✅ NORMAL ACTIVITY | probability=0.407
2026-03-02 11:23:40,797 - ✅ NORMAL ACTIVITY | probability=0.360
2026-03-02 11:23:43,829 - ✅ NORMAL ACTIVITY | probability=0.387
2026-03-02 11:23:46,861 - ✅ NORMAL ACTIVITY | probability=0.453
2026-03-02 11:23:49,895 - ✅ NORMAL ACTIVITY | probability=0.433
2026-03-02 11:23:52,926 - ✅ NORMAL ACTIVITY | probability=0.327
2026-03-02 11:23:55,958 - ✅ NORMAL ACTIVITY | probability=0.413
2026-03-02 11:23:58,990 - ✅ NORMAL ACTIVITY | probability=0.400
2026-03-02 11:24:02,023 - ✅ NORMAL ACTIVITY | probability=0.373
2026-03-02 11:24:05,056 - ✅ NORMAL ACTIVITY | probability=0.427
2026-03-02 11:24:08,088 - 🚨 RANSOMWARE DETECTED | probability=0.467
2026-03-02 11:24:11,122 - 🚨 RANSOMWARE DETECTED | probability=0.647
2026-03-02 11:24:14,153 - 🚨 RANSOMWARE DETECTED | probability=0.727
2026-03-02 11:24:17,234 - 🚨 RANSOMWARE DETECTED | probability=0.773
2026-03-02 11:24:20,265 - 🚨 RANSOMWARE DETECTED | probability=0.780
2026-03-02 11:24:23,300 - ✅ NORMAL ACTIVITY | probability=0.247
2026-03-02 11:32:56,093 - ✅ NORMAL ACTIVITY | probability=0.373
2026-03-02 11:32:59,123 - ✅ NORMAL ACTIVITY | probability=0.280
2026-03-02 11:33:02,159 - ✅ NORMAL ACTIVITY | probability=0.347
2026-03-02 11:33:05,193 - ✅ NORMAL ACTIVITY | probability=0.380
2026-03-02 11:33:08,228 - ✅ NORMAL ACTIVITY | probability=0.440
2026-03-02 11:33:11,260 - ✅ NORMAL ACTIVITY | probability=0.293
2026-03-02 11:33:14,295 - ✅ NORMAL ACTIVITY | probability=0.353
2026-03-02 11:33:17,338 - ✅ NORMAL ACTIVITY | probability=0.253
2026-03-02 11:33:20,371 - ✅ NORMAL ACTIVITY | probability=0.407
2026-03-02 11:33:23,403 - ✅ NORMAL ACTIVITY | probability=0.400
2026-03-02 11:33:26,435 - ✅ NORMAL ACTIVITY | probability=0.393
2026-03-02 11:33:29,468 - ✅ NORMAL ACTIVITY | probability=0.393
2026-03-02 11:33:32,504 - ✅ NORMAL ACTIVITY | probability=0.280
2026-03-02 11:33:35,538 - ✅ NORMAL ACTIVITY | probability=0.400
2026-03-02 11:33:38,574 - ✅ NORMAL ACTIVITY | probability=0.413
2026-03-02 11:33:41,605 - ✅ NORMAL ACTIVITY | probability=0.347
